ONDC,data-type-ONDC,Woo-Commerce,data-type-WooCommerce
id,string,.id,number
parent_item_id,string,.parent_id,number
descriptor.name,string,.name,string
descriptor.short_desc,string,.short_description,string
descriptor.long_desc,string,.description,string
descriptor.images,string,.images.src,string
price.value,string,.price,string
price.maximum_value,string,.regular_price,string
category_id,string,.categories[0].id,number
fulfillment_id,string,,
location_id,string,.bundle_add_to_cart_form_location,string
matched,boolean,,
@ondc/org/returnable,boolean,,
@ondc/org/seller_pickup_return,boolean,,
@ondc/org/return_window,string,,
@ondc/org/cancellable,boolean,,
@ondc/org/time_to_ship,string,,
@ondc/org/available_on_cod,boolean,,
@ondc/org/contact_details_consumer_care,string,,
recommended,boolean,.reviews_allowed,boolean
rating,number,.average_rating,string
